"DIFF","R2","R7","R8","R17","R22","R32"
"0",0.145,0.758,0.1046,0.0592,0.3967,0.05513
"1",0.755,0.309,0.8797,0.0202,1.3333,0.2062
"0",0,2.557,0.1432,0.0942,0.09821,0.2893
"0",0.528,0.739,0.3077,0.0355,0.6087,0.1929
"1",0.717,0.569,0.2229,0.0524,0.3719,0.37
"0",0.162,1.116,0.08311,0.053,0.2347,0.2485
"1",0.922,0.0812,1.1702,0.0409,0.4296,0.3342
"0",0,0.72,0.2949,0.0884,0.5592,0.05513
"1",0.811,0.256,0.07554,0.0269,0.6617,0.2542
"1",0.531,0.778,1.1348,0.045,0.2263,0.324
"0",0.223,1.135,0.1118,0.0478,0.3143,0.2614
"1",0.721,0.62,0.3652,0.0476,0.1926,0.4505
"0",0,1.131,0.1003,0.0589,0.6025,-0.0656
"1",0.529,0.514,0.1153,0.0526,0.5783,0.2043
"1",0.95,0.0695,0.05444,0.0202,0.2552,0.2852
"0",0.434,0.811,0.04217,0.0648,0.2289,0.2257
"0",0.636,0.547,0.2889,0.0651,0.3752,0.3021
"1",0.914,0.0851,0.6755,0.0303,0.4954,0.2814
"1",0.706,0.447,0.307,0.0361,0.4493,0.2613
"1",0.725,0.548,1.0274,0.0674,0.8695,0.2967
"0",0,0.918,0.2933,0.0835,0.4128,0.05513
"0",0.621,1.06,0.6998,0.088,0.9263,-0.0787
"0",0,2.557,0.2648,0.0732,0.2786,-0.0979
"1",0.796,0.336,0.864,0.0492,1.1611,0.4016
"1",0.653,0.521,0.3902,0.0885,0.6719,0.261
"1",0.603,0.428,0.2397,0.0612,0.5329,0.3231
"0",0.217,1.344,0.04896,0.012,0.3297,0.2041
"0",0.573,1.996,0.1786,0.0758,0.4699,-0.162
"0",0.791,0.366,0.5028,0.0528,0.9328,-0.001
"0",0.23,1.026,0.322,0.047,0.2472,0.1413
"1",0.848,0.182,0.4276,0.0307,0.534,0.4313
"0",0,0.31,0.2688,0.0932,0.4069,0.2615
"1",0.95,0.0695,0.666,0.0308,0.6912,0.4179
"0",0.383,1.391,0.3941,0.0914,0.2897,0.05972
"1",0.81,0.303,0.2349,0.107,0.3355,0.4313
"1",0.654,0.641,0.09553,0.0365,0.3364,0.3555
"1",0.451,0.563,0.4056,0.0437,3.9397,0.3479
"0",0.199,0.567,0.1735,0.0872,0.09821,0.1124
"1",0.88,0.134,0.8797,0.0314,1.467,0.3607
"0",0.156,2.557,0.0716,0.0915,0.721,-0.0252
"1",0.7,0.331,0.2565,0.0523,1.8724,0.4287
"1",0.673,0.401,0.6238,0.0393,1.5371,0.2263
"0",0.302,1.338,0.8322,0.054,3.9397,0.04833
"1",0.683,1.06,0.9158,0.0219,0.2567,0.2033
"1",0.94,0.101,0.3784,0.0646,0.5763,0.3373
"1",0.909,0.114,0.6099,0.105,0.2096,0.4313
"0",0.677,0.256,0.2204,0.114,0.2244,0.1101
"0",0.647,0.709,0.04883,0.0628,0.3179,0.1301
"1",0.424,0.653,0.2801,0.0497,0.416,0.235
"0",0,0.9,0.04883,0.0688,2.0786,0.1035
"1",0.773,0.348,0.5928,0.0302,0.3726,0.3234
"1",0.704,0.472,0.4096,0.0877,0.2305,0.31
"1",0.95,0.0695,0.1552,0.0202,0.2196,0.2981
"1",0.175,1.508,0.7719,0.0479,0.7458,0.15
"1",0.95,0.0695,0.08267,0.0202,0.4116,0.4027
"1",0.884,0.195,0.2002,0.101,0.2744,0.4313
"1",0.843,0.252,0.04788,0.0905,0.4739,0.3121
"0",0.297,1.12,0.1868,0.0318,3.9397,0.2508
"0",0.406,1.077,0.09227,0.0364,1.0215,0.1025
"0",0,0.978,0.04217,0.104,0.7598,0.09578
"0",0.512,0.714,0.07078,0.0674,0.2132,0.243
"1",0.754,0.457,0.2362,0.0507,0.1314,0.3328
"0",0.15,0.858,0.4625,0.0443,0.317,0.3723
"1",0.867,0.236,0.08159,0.0552,1.1539,0.3078
"0",0,1.812,0.09853,0.101,0.2804,-0.0979
"1",0.908,0.126,0.5599,0.0625,0.1801,0.4313
"1",0.73,0.58,0.1929,0.124,0.5973,0.281
"1",0.518,0.818,0.6763,0.0649,0.3697,0.4075
"0",0.696,0.39,0.466,0.0949,0.6891,0.2024
"0",0.315,0.954,0.4595,0.0671,0.5263,0.3222
"1",0.877,0.0757,0.452,0.0568,0.5036,0.3227
"1",0.286,1.241,0.1542,0.0481,0.9479,0.3417
"1",0.749,0.575,0.6133,0.0608,1.0563,0.2063
"1",0.885,0.156,0.4093,0.0202,2.0131,0.3303
"0",0.445,0.65,0.4881,0.0852,0.3547,0.2714
"0",0,1.67,0.3258,0.0656,0.3843,0.05455
"1",0.416,0.572,0.1489,0.0774,0.1464,0.2426
"1",0.779,0.299,0.2305,0.0806,0.7973,0.2736
"1",0.714,0.503,0.3921,0.0478,0.3299,0.22
"1",0.95,0.0884,0.3974,0.0202,0.1418,0.3838
"0",0.551,1.238,0.3086,0.0418,0.09574,0.05513
"0",0,2.476,0.7271,0.0903,0.4679,0.2787
"1",0.586,0.513,0.261,0.0374,0.7916,0.4077
"1",0.764,0.416,0.4238,0.0769,0.592,0.2263
"1",0.95,0.0695,1.448,0.0202,0.7042,0.3263
"0",0.808,0.721,0.6082,0.0273,0.09821,0.3061
"1",0.939,0.084,0.4983,0.0647,1.0759,0.2963
"1",0.746,0.473,0.04883,0.0599,0.9193,0.2493
"1",0.708,0.32,0.9401,0.0425,0.5289,0.334
"1",0.74,0.485,0.6332,0.0604,0.1193,0.2396
"1",0.664,0.584,0.04883,0.0395,0.08989,0.4164
"1",0.775,0.402,0.0651,0.0287,0.2107,0.2747
"0",0.138,1.306,0.05131,0.124,0.3028,0.1046
"1",0.807,0.155,0.04883,0.0492,0.3329,0.1313
"0",0.514,1.241,0.7789,0.0524,0.7351,0.05583
"1",0.866,0.327,0.04217,0.084,0.3397,0.345
"0",0.23,0.876,0.1533,0.0562,0.3793,0.1669
"1",0.683,0.658,0.06801,0.0465,0.7716,0.2879
"0",0.885,0.121,0.1858,0.114,0.3873,0.258
"1",0.645,0.732,1.2428,0.066,0.5212,0.2449
"1",0.824,0.257,0.3947,0.0393,0.2079,0.318
"1",0.93,0.0513,0.5877,0.0596,0.4428,0.4625
"1",0.94,0.101,0.7006,0.0691,1.5371,0.415
"0",0.646,0.423,0.146,0.0749,0.5478,0.3148
"1",0.672,0.502,0.3089,0.0549,1.0389,0.2714
"0",0,0.924,0.1267,0.11,0.3133,0.02701
"0",0.398,0.665,0.8797,0.0403,0.3697,0.26
"0",0.547,0.605,0.1166,0.0543,1.1188,0.2874
"1",0.651,0.579,0.4301,0.0321,0.5508,0.185
"0",0.238,1.241,1.0401,0.0964,1.5371,0.0788
"0",0.257,0.743,0.7386,0.053,0.3148,0.186
"1",0.647,0.62,0.09413,0.0521,0.1623,0.4029
"0",0,0.661,0.2208,0.0815,0.1496,0.3176
"0",0,2.296,0.6713,0.0325,0.8746,-0.00285
"0",0.411,1.226,0.6514,0.0764,0.6399,0.2271
"1",0.596,0.622,0.4175,0.0763,0.8631,0.299
"0",0,1.588,0.1329,0.0653,0.2174,0.1905
"0",0.498,1.005,0.07034,0.0528,1.5371,0.2041
"0",0.0711,0.994,0.2621,0.0727,0.4041,0.1099
"0",0,0.615,0.2057,0.0605,0.6934,0.1649
"0",0.263,1.089,0.2347,0.0745,0.638,0.2541
"1",0.95,0.0754,0.478,0.0519,0.891,0.1955
"1",0.784,0.389,0.4361,0.0585,0.7427,0.3054
"1",0.91,0.0936,0.02429,0.0362,0.8256,0.4121
"1",0.95,0.0695,0.3189,0.0202,1.6075,0.3839
"1",0.812,0.193,0.194,0.0632,0.5974,0.2771
"0",0,1.011,0.06409,0.072,1.224,0.2956
"0",0.7,0.337,0.1265,0.0909,0.6599,0.1318
"0",0,0.453,1.8494,0.103,0.4304,0.2537
"1",0.67,0.357,0.09703,0.0635,0.1998,0.4166
"1",0.599,0.864,0.1861,0.0526,1.3717,0.3306
"0",0.318,0.864,0.2522,0.03,0.3735,0.2864
"1",0.714,0.44,0.3579,0.0442,0.6667,0.3423
"0",0,1.844,0.363,0.0379,0.549,0.02205
"0",0,1.241,0.4816,0.0656,0.5603,0.2191
"0",0.641,0.665,0.115,0.0726,3.8663,0.4059
"1",0.448,0.783,0.1076,0.06,0.3333,0.1609
"1",0.417,0.955,0.09554,0.0709,0.6175,0.2016
"1",0.366,0.802,0.2187,0.0346,0.9392,0.2502
"1",0.327,1.164,0.4054,0.0997,0.6631,0.1441
"1",0.722,0.262,0.9933,0.0819,0.5333,0.3489
"0",0.173,0.395,1.4723,0.121,0.6279,0.1355
"1",0.757,0.484,0.1187,0.0553,0.5616,0.2582
"1",0.915,0.144,0.5261,0.038,0.3109,0.4313
"1",0.722,0.373,0.2605,0.0857,0.2026,0.3713
"1",0.603,0.868,0.5054,0.0701,1.5371,0.3337
"0",0,0.103,0.08007,0.0695,0.8288,0.1433
"0",0.396,1.033,0.2994,0.0767,0.3233,0.1737
"1",0.478,0.555,0.4698,0.0999,1.3416,0.1434
"1",0.376,1.241,1.4196,0.0651,0.4491,0.3207
"1",0.841,0.282,0.1339,0.0469,1.1044,0.3657
"1",0.725,0.641,0.06307,0.0357,0.9392,0.1842
"0",0.428,1.226,1.0885,0.0383,0.6224,0.1914
"0",0.119,2.557,0.3809,0.03,0.9481,-0.0528
"1",0.815,0.14,0.5359,0.053,0.2039,0.3244
"0",0.194,1.032,0.1648,0.0949,0.4696,0.1514
"0",0,0.772,0.2464,0.105,0.4349,0.2804
"1",0.701,0.441,0.5898,0.0813,0.5215,0.3347
"0",0,0.195,0.2433,0.124,0.8669,0.13
"1",0.611,1.108,0.0756,0.03,0.5561,0.2642
"1",0.48,0.767,0.04883,0.0739,0.1873,0.3156
"1",0.771,0.599,0.2847,0.0901,1.5371,0.397
"0",0,0.426,0.1629,0.0832,0.7248,0.2719
"0",0.181,1.241,0.5949,0.0448,0.2399,0.404
"1",0.451,0.807,0.5628,0.0611,0.09821,0.2259
"1",0.937,0.132,0.6449,0.0538,0.8943,0.3185
"0",0,0.333,0.1457,0.114,1.4806,-0.0979
"0",0.178,1.539,0.8797,0.0866,0.8835,0.1838
"0",0.274,1.049,0.1073,0.0991,0.7257,0.09837
"0",0.442,0.856,0.05767,0.0599,0.119,0.0917
"1",0.902,0.128,0.5133,0.0477,0.1206,0.393
"1",0.658,0.471,0.4742,0.0566,0.314,0.348
"1",0.667,0.632,0.08641,0.0415,0.8815,0.4025
"0",0.296,0.619,0.3708,0.0461,0.4619,0.1185
"1",0.65,0.407,0.06219,0.0533,0.3088,0.3829
"0",0.471,0.598,0.2923,0.0817,0.5837,0.2309
"0",0.782,0.116,0.8962,0.076,0.6966,0.2413
"1",0.731,0.631,0.1011,0.0708,0.1193,0.1888
"0",0.404,1.308,0.1447,0.0233,1.0331,0.2659
"1",0.597,0.718,0.05158,0.0662,0.1193,0.3249
"0",0.644,0.148,0.2736,0.0262,0.1787,0.3211
"0",0.726,0.571,1.1139,0.0522,0.3851,0.05856
"1",0.314,0.62,0.3317,0.0878,0.5366,0.2155
"0",0.846,0.17,0.4908,0.0202,0.1733,0.3191
"1",0.561,0.34,0.4355,0.0773,0.2744,0.1944
"0",0.37,1.055,0.2239,0.0802,1.0386,0.1438
"1",0.94,0.101,0.1803,0.124,0.4475,0.2327
"1",0.94,0.106,0.3066,0.0626,0.8297,0.2349
"0",0.768,0.36,0.267,0.0383,1.2778,0.2214
"0",0,1.382,0.683,0.0598,0.4168,0.381
"0",0,0.574,0.2929,0.0533,1.0691,0.09105
"1",0.749,0.238,0.3761,0.0974,1.6311,0.3325
"1",0.362,1.241,0.4402,0.0296,1.315,0.402
"1",0.623,0.66,0.1455,0.0648,0.2119,0.2942
"0",0.495,0.565,0.8838,0.103,0.1251,0.2334
"0",0.753,0.285,0.2569,0.0599,0.561,0.1936
"1",0.848,0.183,0.09848,0.114,0.5644,0.3157
"0",0.528,0.526,0.3844,0.0783,1.0278,0.2376
"1",0.829,0.305,0.4696,0.049,0.8095,0.4313
"1",0.9,0.12,0.1527,0.0411,1.5371,0.2787
"1",0.926,0.134,0.2648,0.0586,0.9867,0.4009
"0",0.222,0.531,0.3992,0.0395,0.4264,0.1408
"0",0,0.311,0.06229,0.109,0.5258,0.2829
"1",0.768,0.275,0.141,0.0438,0.2298,0.3646
"0",0.72,0.282,0.7711,0.0907,0.337,0.2868
"1",0.942,0.085,0.3455,0.0409,0.4289,0.3448
"0",0.666,0.471,0.6038,0.0973,0.3595,0.1985
"0",0.644,0.579,0.3755,0.103,0.5606,0.4505
"1",0.13,0.694,0.7428,0.0526,1.5371,0.6608
"1",0.878,0.226,0.1524,0.077,0.5705,0.2424
"1",0.729,0.33,0.1996,0.0334,1.442,0.3276
"0",0,0.24,0.135,0.0788,0.7812,0.2398
"0",0.513,0.457,0.2831,0.0613,0.313,0.07524
"0",0.58,0.964,0.3465,0.0817,0.4526,0.395
"0",0.854,0.122,0.187,0.052,2.4352,0.08475
"0",0.33,0.516,0.2332,0.0588,0.6158,0.2601
"1",0.907,0.166,0.04217,0.0693,0.542,0.3231
"0",0.849,0.857,0.08603,0.0416,0.3656,0.07914
"1",0.801,0.213,0.3314,0.0431,0.2043,0.4134
"0",0.632,0.343,0.1773,0.0202,0.07663,0.4026
"0",0.445,0.88,0.1452,0.194,0.8964,0.05071
"0",0.5,0.535,0.04883,0.092,0.4348,0.1795
"1",0.745,0.308,0.2195,0.0473,0.1676,0.4298
"1",0.574,0.373,0.04217,0.0695,0.09922,0.3653
"0",0,0.377,0.07675,0.08,0.217,0.1521
"1",0.84,0.322,0.4495,0.0755,0.2506,0.3859
"1",0.755,0.371,0.08528,0.114,1.1594,0.3238
"0",0.417,1.069,0.4348,0.0613,1.0979,0.2154
"1",0.95,0.0695,0.1366,0.0449,0.3529,0.3178
"1",0.844,0.223,0.09251,0.0256,0.4969,0.4313
"0",0.401,1.421,0.07613,0.0677,1.4116,-0.0979
"1",0.903,0.169,0.3667,0.0651,0.5016,0.2923
"1",0.605,0.547,0.1374,0.0364,0.4631,0.2455
"1",0.367,1.347,0.6738,0.0293,1.1091,0.3892
"1",0.818,0.403,0.3697,0.124,0.4797,0.2696
"1",0.633,0.507,0.5519,0.0503,0.3912,0.3353
"1",0.756,0.577,0.14,0.03,0.4831,0.3748
"1",0.95,0.0695,0.4116,0.0202,0.4241,0.2006
"0",0.668,0.293,0.8797,0.06,0.2575,0.05607
"1",0.65,0.58,0.07572,0.0489,0.2839,0.4313
"0",0.298,1.117,0.1561,0.092,0.09821,0.1498
"1",0.57,0.584,0.09558,0.0935,0.6241,0.05852
"1",0.769,0.324,0.4646,0.0269,0.4181,0.2427
"0",0.18,0.993,0.1684,0.0599,0.06099,0.19
"0",0.572,0.398,0.9821,0.081,0.2481,0.2857
"0",0,2.557,0.08817,0.0553,0.5696,-0.0979
"0",0.617,0.92,0.5121,0.0662,0.7764,0.2903
"1",0.366,0.635,0.2013,0.0646,0.3507,0.249
"0",0,0.615,0.1484,0.0591,0.1643,0.2058
"0",0.139,1.044,0.4422,0.075,0.7021,0.2142
"1",0.809,0.42,0.1759,0.0798,0.2381,0.2445
"1",0.709,0.541,0.1935,0.0763,0.5509,0.3393
"1",0.65,0.473,0.4988,0.0483,1.2667,0.3123
"1",0.473,0.913,0.3188,0.0248,3.9397,0.2738
"1",0.754,0.636,0.1699,0.0415,0.9556,0.4453
"1",0.344,1.005,0.5017,0.0659,0.6657,0.3947
"1",0.763,0.344,0.2194,0.0839,0.8393,0.3498
"0",0.0747,0.787,1.8494,0.0647,0.835,0.2686
"0",0.323,0.845,0.8797,0.0364,3.6167,0.2983
"1",0.94,0.101,0.4491,0.124,1.2744,0.1643
"1",0,1.432,0.09926,0.0571,1.6134,0.00192
"0",0.764,0.512,0.1036,0.114,0.3713,0.1717
"0",0.345,0.91,0.1507,0.0365,0.7691,0.295
"0",0,2.429,0.2405,0.0913,0.8235,0.4088
"0",0.272,0.472,1.0682,0.088,0.199,0.05513
"1",0.682,0.745,0.4006,0.0641,0.5527,0.3031
"0",0.349,1.248,0.2309,0.0944,1.5371,0.126
"1",0.586,0.637,0.4115,0.0521,1.4503,0.3325
"1",0.535,0.757,0.1244,0.0605,0.2482,0.2993
"0",0.336,0.759,0.08122,0.0517,0.4935,0.06704
"0",0.516,0.19,0.446,0.0853,0.6683,-0.0979
"0",0.316,2.152,0.05269,0.0737,0.5857,-0.0979
"0",0.357,0.512,0.8797,0.0716,0.2771,0.1883
"0",0.565,0.453,0.1817,0.104,1.5371,0.1883
"0",0.431,0.91,0.1571,0.114,0.1388,0.05513
"1",0.35,0.683,0.1334,0.0603,0.4825,0.1312
"1",0.892,0.13,0.5529,0.054,1.6235,0.3371
"1",0.512,0.806,0.1975,0.0428,0.4565,0.3725
"1",0.586,0.585,0.6234,0.063,0.3309,0.1882
"1",0.784,0.44,0.4284,0.0388,0.5957,0.2336
"0",0,0.945,0.3076,0.124,0.6342,-0.0979
"0",0.283,0.763,0.06988,0.1,1.0368,0.4039
"1",0.844,0.456,0.785,0.0993,1.6513,0.3466
"0",0,0.331,0.2003,0.103,0.6398,0.2886
"1",0.647,0.312,0.05324,0.0379,0.2339,0.5626
"1",0.666,0.36,0.6671,0.0667,0.3916,0.2857
"0",0.905,0.101,0.7825,0.124,2.3547,0.1108
"0",0.306,0.716,0.1465,0.0996,0.699,0.2835
"0",0,1.314,0.4106,0.0546,0.5081,0.3798
"1",0.475,0.872,0.2792,0.0481,3.3077,0.3303
"1",0.806,0.464,0.2812,0.0522,2.6589,0.3792
"1",0.95,0.0695,0.3677,0.0202,0.6509,0.3953
"1",0.359,1.257,0.1283,0.0233,0.1193,0.3085
"1",0.778,0.284,0.4386,0.0437,0.228,0.4154
"0",0,0.437,0.141,0.114,0.3036,0.05513
"1",0.678,0.528,0.3792,0.0202,1.6184,0.3385
"1",0.753,0.553,0.1168,0.0552,1.0885,0.3606
"0",0.234,1.241,0.1,0.103,1.8628,0.05513
"1",0.386,0.626,0.09086,0.0403,0.5753,0.2687
"0",0.429,0.86,0.646,0.0474,0.6093,0.1725
"1",0.672,0.464,0.123,0.0453,1.0019,0.2761
"1",0.816,0.206,0.2474,0.0202,0.08913,0.3255
"0",0.387,0.592,1.0025,0.0795,0.7043,0.3608
"0",0.186,1.935,0.1656,0.124,0.7471,0.1124
"1",0.577,0.313,0.5622,0.0407,0.4982,0.2068
"0",0.515,0.876,0.5941,0.078,0.6929,0.3269
"1",0.895,0.127,0.5404,0.0536,0.4567,0.3907
"1",0.736,0.57,0.09326,0.07,0.6119,0.4156
"1",0.87,0.225,0.4548,0.0643,0.315,0.4505
"0",0.479,1.072,0.04883,0.0792,2.3149,0.1498
"0",0,1.241,0.4714,0.0573,0.1986,0.2814
"0",0.916,0.141,0.4683,0.0514,0.09821,0.4773
"1",0.602,0.499,0.8797,0.0811,0.6394,0.3023
"0",0.459,0.73,0.1718,0.0728,0.2986,0.4155
"0",0.813,0.165,-0.703,0.0299,1.0648,0.1723
"1",0.733,0.367,0.4352,0.0563,0.2608,0.4313
"1",0.586,0.799,0.05141,0.0645,0.2459,0.3469
"1",0.94,0.101,0.1704,0.0841,0.5122,0.3584
"0",0,0.821,0.09772,0.0965,1.4953,0.05513
"0",0.64,0.323,1.0468,0.0844,0.5533,0.2271
"0",0.682,0.133,0.2116,0.0761,3.9397,0.1198
"0",0.897,0.0695,0.2733,0.0831,1.5371,0.3979
"0",0.0413,0.721,0.569,0.0903,0.3305,0.05419
"1",0.28,1.266,0.7232,0.039,0.4497,0.1237
"0",0,1.241,0.1781,0.0435,0.1844,0.2798
"0",0,0.0695,0.1324,0.114,0.4004,0.2967
"0",0.535,1.401,0.1372,0.0613,0.09821,0.3051
"1",0.536,0.835,0.4121,0.0622,0.3764,0.3582
"1",0.94,0.101,0.07676,0.0307,0.3544,0.2361
"0",0.399,0.393,0.09349,0.0684,0.688,0.2065
"1",0.458,0.957,0.7303,0.0838,0.5667,0.2393
"0",0,1.104,0.6588,0.0354,1.4819,0.4631
"1",0.705,0.429,0.8797,0.0621,0.5261,0.3282
"0",0,0.803,0.04883,0.0466,0.1155,0.02351
"0",0.236,1.013,0.2528,0.0948,3.9397,0.07647
"0",0,0.558,0.09705,0.0477,1.0354,0.05513
"1",0.739,0.514,0.3995,0.0733,3.0812,0.2705
"0",0.592,0.755,0.4297,0.0986,0.3145,0.2057
"0",0,0.317,0.1174,0.0718,0.7798,0.2231
"0",0,0.55,0.5042,0.0926,1.8134,0.00561
"0",0.5,0.534,0.7707,0.0459,0.7542,0.2069
"1",0.95,0.0695,0.114,0.0375,0.4501,0.3175
"0",0,1.076,0.1406,0.109,0.4921,0.1491
"1",0.719,0.362,0.09946,0.0566,0.3632,0.3451
"1",0.588,0.89,0.2435,0.0755,1.0094,0.3217
"0",0.787,0.332,0.1845,0.0387,0.2108,0.1043
"1",0.838,0.254,0.6212,0.0202,0.5471,0.4313
"1",0.864,0.308,0.1034,0.041,1.5371,0.4313
"0",0.678,0.41,0.6782,0.0936,0.63,0.1993
"0",0.726,0.239,0.6928,0.07,0.9393,0.1136
"1",0.74,0.224,0.582,0.0524,1.0475,0.194
"1",0.784,0.42,0.327,0.0571,0.2069,0.2896
"0",0,0.679,0.358,0.0772,2.3241,0.08736
"1",0.738,0.324,0.8797,0.0753,1.2481,0.2181
"0",0.391,0.488,0.2013,0.0757,0.7364,0.0968
"1",0.348,1.24,0.4409,0.0282,0.09821,0.3023
"1",0.623,0.608,0.5126,0.0736,1.5371,0.2703
"1",0.95,0.0695,0.1729,0.0202,0.8628,0.3239
"1",0.45,1.552,0.06315,0.0431,0.1193,0.3332
"0",0.0394,0.852,0.8116,0.0936,1.5371,0.1344
